,date,departamento,new_cases,new_deaths,median_age,population
273,2021-03-17,AMAZONAS,11,1.0,31.3,79020
274,2021-03-18,AMAZONAS,13,1.0,31.3,79020
275,2021-03-19,AMAZONAS,7,2.0,31.3,79020
276,2021-03-20,AMAZONAS,6,1.0,31.3,79020
277,2021-03-21,AMAZONAS,33,1.0,31.3,79020
278,2021-03-22,AMAZONAS,7,1.0,31.3,79020
279,2021-03-23,AMAZONAS,7,,31.3,79020
280,2021-03-24,AMAZONAS,11,1.0,31.3,79020
281,2021-03-25,AMAZONAS,6,1.0,31.3,79020
282,2021-03-26,AMAZONAS,8,3.0,31.3,79020
283,2021-03-27,AMAZONAS,30,,31.3,79020
284,2021-03-28,AMAZONAS,28,2.0,31.3,79020
285,2021-03-29,AMAZONAS,7,1.0,31.3,79020
286,2021-03-30,AMAZONAS,2,,31.3,79020
287,2021-03-31,AMAZONAS,6,1.0,31.3,79020
288,2021-04-01,AMAZONAS,5,2.0,31.3,79020
289,2021-04-02,AMAZONAS,5,1.0,31.3,79020
290,2021-04-03,AMAZONAS,3,1.0,31.3,79020
291,2021-04-04,AMAZONAS,3,3.0,31.3,79020
292,2021-04-05,AMAZONAS,4,,31.3,79020
293,2021-04-06,AMAZONAS,16,,31.3,79020
294,2021-04-07,AMAZONAS,24,,31.3,79020
295,2021-04-08,AMAZONAS,15,,31.3,79020
296,2021-04-09,AMAZONAS,18,1.0,31.3,79020
297,2021-04-10,AMAZONAS,15,,31.3,79020
298,2021-04-11,AMAZONAS,4,,31.3,79020
299,2021-04-12,AMAZONAS,12,,31.3,79020
300,2021-04-13,AMAZONAS,6,1.0,31.3,79020
301,2021-04-14,AMAZONAS,3,2.0,31.3,79020
302,2021-04-15,AMAZONAS,29,,31.3,79020
303,2021-04-16,AMAZONAS,11,1.0,31.3,79020
304,2021-04-17,AMAZONAS,8,2.0,31.3,79020
305,2021-04-18,AMAZONAS,3,2.0,31.3,79020
306,2021-04-19,AMAZONAS,36,1.0,31.3,79020
307,2021-04-20,AMAZONAS,5,1.0,31.3,79020
308,2021-04-21,AMAZONAS,1,,31.3,79020
309,2021-04-22,AMAZONAS,7,1.0,31.3,79020
310,2021-04-23,AMAZONAS,7,,31.3,79020
311,2021-04-24,AMAZONAS,2,,31.3,79020
312,2020-03-09,ANTIOQUIA,1,,31.3,6677930
313,2020-03-11,ANTIOQUIA,3,,31.3,6677930
314,2020-03-14,ANTIOQUIA,3,,31.3,6677930
315,2020-03-15,ANTIOQUIA,1,,31.3,6677930
316,2020-03-19,ANTIOQUIA,3,,31.3,6677930
317,2020-03-20,ANTIOQUIA,11,,31.3,6677930
318,2020-03-21,ANTIOQUIA,3,,31.3,6677930
319,2020-03-22,ANTIOQUIA,5,,31.3,6677930
320,2020-03-23,ANTIOQUIA,22,,31.3,6677930
321,2020-03-25,ANTIOQUIA,8,,31.3,6677930
322,2020-03-28,ANTIOQUIA,7,,31.3,6677930
323,2020-03-29,ANTIOQUIA,19,,31.3,6677930
324,2020-03-30,ANTIOQUIA,10,,31.3,6677930
325,2020-03-31,ANTIOQUIA,5,,31.3,6677930
326,2020-04-01,ANTIOQUIA,6,,31.3,6677930
327,2020-04-02,ANTIOQUIA,20,,31.3,6677930
328,2020-04-03,ANTIOQUIA,18,1.0,31.3,6677930
329,2020-04-04,ANTIOQUIA,5,,31.3,6677930
330,2020-04-05,ANTIOQUIA,22,,31.3,6677930
331,2020-04-06,ANTIOQUIA,11,,31.3,6677930
332,2020-04-07,ANTIOQUIA,15,,31.3,6677930
333,2020-04-08,ANTIOQUIA,37,,31.3,6677930
334,2020-04-09,ANTIOQUIA,4,,31.3,6677930
335,2020-04-10,ANTIOQUIA,7,,31.3,6677930
336,2020-04-11,ANTIOQUIA,6,,31.3,6677930
337,2020-04-12,ANTIOQUIA,8,,31.3,6677930
338,2020-04-13,ANTIOQUIA,13,,31.3,6677930
339,2020-04-14,ANTIOQUIA,17,,31.3,6677930
340,2020-04-15,ANTIOQUIA,12,,31.3,6677930
341,2020-04-16,ANTIOQUIA,7,,31.3,6677930
342,2020-04-17,ANTIOQUIA,16,,31.3,6677930
343,2020-04-18,ANTIOQUIA,9,2.0,31.3,6677930
344,2020-04-19,ANTIOQUIA,18,,31.3,6677930
345,2020-04-20,ANTIOQUIA,11,,31.3,6677930
346,2020-04-21,ANTIOQUIA,3,,31.3,6677930
347,2020-04-22,ANTIOQUIA,12,,31.3,6677930
348,2020-04-23,ANTIOQUIA,23,,31.3,6677930
349,2020-04-24,ANTIOQUIA,6,1.0,31.3,6677930
350,2020-04-25,ANTIOQUIA,2,,31.3,6677930
351,2020-04-26,ANTIOQUIA,3,,31.3,6677930
352,2020-04-27,ANTIOQUIA,8,1.0,31.3,6677930
353,2020-04-28,ANTIOQUIA,3,,31.3,6677930
354,2020-04-29,ANTIOQUIA,5,,31.3,6677930
355,2020-04-30,ANTIOQUIA,4,,31.3,6677930
356,2020-05-01,ANTIOQUIA,3,,31.3,6677930
357,2020-05-02,ANTIOQUIA,1,1.0,31.3,6677930
358,2020-05-03,ANTIOQUIA,7,,31.3,6677930
